ETBL_ID;TERR_GENRE;TERR_ZONE_ID;TERR_ZONE_NOM_FR;TERR_ZONE_NOM_EN;TERR_ZONE_GENRE_ID;TERR_ZONE_GENRE_FR;TERR_ZONE_GENRE_EN
377700926;principal;3406;Québec;Quebec;75;Province;Province
377700934;principal;22280;Labelle;Labelle;91;Ville;City
377700934;principal;3430;Laurentides;Laurentides;81;Région;Area
377700934;principal;3406;Québec;Quebec;75;Province;Province
377700942;principal;21356;Saint-Herménégilde;Saint-Herménégilde;91;Ville;City
377700942;principal;3424;Cantons-de-l'Est;Eastern Townships;81;Région;Area
377700942;principal;3406;Québec;Quebec;75;Province;Province
377700950;principal;281857757;Radisson;Radisson;432971;Quartier / secteur;District / Area
377700950;principal;22736;Eeyou Istchee Baie-James;Eeyou Istchee Baie-James;91;Ville;City
377700950;principal;5718188;Baie-James;Baie-James;81;Région;Area
377700950;principal;3406;Québec;Quebec;75;Province;Province
377700958;principal;281857757;Radisson;Radisson;432971;Quartier / secteur;District / Area
377700958;principal;22736;Eeyou Istchee Baie-James;Eeyou Istchee Baie-James;91;Ville;City
377700958;principal;5718188;Baie-James;Baie-James;81;Région;Area
377700958;principal;3406;Québec;Quebec;75;Province;Province
377700966;principal;22120;Paspébiac;Paspébiac;91;Ville;City
377700966;principal;3410;Gaspésie;Gaspésie;81;Région;Area
377700966;principal;3406;Québec;Quebec;75;Province;Province
377851474;principal;23396;L'Anse-Saint-Jean;L'Anse-Saint-Jean;91;Ville;City
377851474;principal;3438;Saguenay-Lac-Saint-Jean;Saguenay-Lac-Saint-Jean;81;Région;Area
377851474;principal;3406;Québec;Quebec;75;Province;Province
377851482;principal;22742;Baie-Saint-Paul;Baie-Saint-Paul;91;Ville;City
377851482;principal;3414;Charlevoix;Charlevoix;81;Région;Area
377851482;principal;3406;Québec;Quebec;75;Province;Province
377851491;principal;134616577;Station Tremblant;Tremblant Resort;432971;Quartier / secteur;District / Area
377851491;principal;134612309;Mont-Tremblant;Mont-Tremblant;91;Ville;City
377851491;principal;3430;Laurentides;Laurentides;81;Région;Area
377851491;principal;3406;Québec;Quebec;75;Province;Province
377851499;principal;23396;L'Anse-Saint-Jean;L'Anse-Saint-Jean;91;Ville;City
377851499;principal;3438;Saguenay-Lac-Saint-Jean;Saguenay-Lac-Saint-Jean;81;Région;Area
377851499;principal;3406;Québec;Quebec;75;Province;Province
377851507;principal;134616577;Station Tremblant;Tremblant Resort;432971;Quartier / secteur;District / Area
377851507;principal;134612309;Mont-Tremblant;Mont-Tremblant;91;Ville;City
377851507;principal;3430;Laurentides;Laurentides;81;Région;Area
377851507;principal;3406;Québec;Quebec;75;Province;Province
377851515;principal;20334;Stoneham-et-Tewkesbury;Stoneham-et-Tewkesbury;91;Ville;City
377851515;principal;528959;La Jacques-Cartier;Jacques-Cartier;87;Sous-région;Sub-area
377851515;principal;3416;Québec;Québec City and Area;81;Région;Area
377851515;principal;3406;Québec;Quebec;75;Province;Province
377851531;principal;127377953;Centre-ville - quartier Saint-Roch;Downtown - Saint-Roch district;432971;Quartier / secteur;District / Area
377851531;principal;127375292;Arrondissement de La Cité - Limoilou;Borough of La Cité - Limoilou;432971;Quartier / secteur;District / Area
377851531;principal;22218;Québec;Québec City;91;Ville;City
377851531;principal;528997;Agglomération de Québec;Québec City Agglomeration;87;Sous-région;Sub-area
377851531;principal;3416;Québec;Québec City and Area;81;Région;Area
377851531;principal;3406;Québec;Quebec;75;Province;Province
377851547;principal;5276221;Brownsburg-Chatham;Brownsburg-Chatham;91;Ville;City
377851547;principal;3430;Laurentides;Laurentides;81;Région;Area
377851547;principal;3406;Québec;Quebec;75;Province;Province
377917589;principal;276714871;Secteur Lévis;Sector of Lévis;432971;Quartier / secteur;District / Area
377917589;principal;22592;Lévis;Lévis;91;Ville;City
377917589;principal;3420;Chaudière-Appalaches;Chaudière-Appalaches;81;Région;Area
377917589;principal;3406;Québec;Quebec;75;Province;Province
377917621;principal;20630;Sainte-Béatrix;Sainte-Béatrix;91;Ville;City
377917621;principal;3428;Lanaudière;Lanaudière;81;Région;Area
377917621;principal;3406;Québec;Quebec;75;Province;Province
377917637;principal;292119702;Hochelaga-Maisonneuve;Hochelaga-Maisonneuve;432971;Quartier / secteur;District / Area
377917637;principal;21950;Montréal;Montréal;91;Ville;City
377917637;principal;3432;Montréal;Montréal;81;Région;Area
377917637;principal;3406;Québec;Quebec;75;Province;Province
377917661;principal;21948;Montpellier;Montpellier;91;Ville;City
377917661;principal;3434;Outaouais;Outaouais;81;Région;Area
377917661;principal;3406;Québec;Quebec;75;Province;Province
377917669;principal;20910;Saint-Marcellin;Saint-Marcellin;91;Ville;City
377917669;principal;380359952;Rimouski-Neigette;Rimouski-Neigette;87;Sous-région;Sub-area
377917669;principal;3412;Bas-Saint-Laurent;Bas-Saint-Laurent;81;Région;Area
377917669;principal;3406;Québec;Quebec;75;Province;Province
378072786;principal;23050;Danville;Danville;91;Ville;City
378072786;principal;3424;Cantons-de-l'Est;Eastern Townships;81;Région;Area
378072786;principal;3406;Québec;Quebec;75;Province;Province
378072794;principal;20436;Val-des-Monts;Val-des-Monts;91;Ville;City
378072794;principal;3434;Outaouais;Outaouais;81;Région;Area
378072794;principal;3406;Québec;Quebec;75;Province;Province
378072802;principal;283741163;Saint-Gérard-des-Laurentides;Saint-Gérard-des-Laurentides;432971;Quartier / secteur;District / Area
378072802;principal;20860;Shawinigan;Shawinigan;91;Ville;City
378072802;principal;3422;Mauricie;Mauricie;81;Région;Area
378072802;principal;3406;Québec;Quebec;75;Province;Province
378072834;principal;22134;Petite-Rivière-Saint-François;Petite-Rivière-Saint-François;91;Ville;City
378072834;principal;3414;Charlevoix;Charlevoix;81;Région;Area
378072834;principal;3406;Québec;Quebec;75;Province;Province
378072850;principal;292120347;Plateau Mont-Royal - Mile End;Plateau Mont-Royal - Mile End;432971;Quartier / secteur;District / Area
378072850;principal;21950;Montréal;Montréal;91;Ville;City
378072850;principal;3432;Montréal;Montréal;81;Région;Area
